taxid	string_name	new_taxid	ncbi_name	root
2711	Citrus sinensis	2711	Citrus sinensis	33
2850	Phaeodactylum tricornutum	2850	Phaeodactylum tricornutum	36
2880	Ectocarpus siliculosus	2880	Ectocarpus siliculosus	36
2903	Emiliania huxleyi	2903	Emiliania huxleyi	36
3055	Chlamydomonas reinhardtii	3055	Chlamydomonas reinhardtii	33
3067	Volvox carteri	3067	Volvox carteri	33
3075	Auxenochlorella protothecoides	3075	Auxenochlorella protothecoides	33
3218	Physcomitrella patens	3218	Physcomitrella patens	33
3641	Theobroma cacao	3641	Theobroma cacao	33
3649	Carica papaya	3649	Carica papaya	33
3656	Cucumis melo	3656	Cucumis melo	33
3659	Cucumis sativus	3659	Cucumis sativus	33
3694	Populus trichocarpa	3694	Populus trichocarpa	33
3702	Arabidopsis thaliana	3702	Arabidopsis thaliana	33
3711	Brassica rapa	3711	Brassica rapa	33
3712	Brassica oleracea	3712	Brassica oleracea	33
3750	Malus domestica	3750	Malus domestica	33
3760	Prunus persica	3760	Prunus persica	33
3827	Cicer arietinum	3827	Cicer arietinum	33
3847	Glycine max	3847	Glycine max	33
3880	Medicago truncatula	3880	Medicago truncatula	33
3885	Phaseolus vulgaris	3885	Phaseolus vulgaris	33
3983	Manihot esculenta	3983	Manihot esculenta	33
3988	Ricinus communis	3988	Ricinus communis	33
4006	Linum usitatissimum	4006	Linum usitatissimum	33
4081	Solanum lycopersicum	4081	Solanum lycopersicum	33
4096	Nicotiana sylvestris	4096	Nicotiana sylvestris	33
4098	Nicotiana tomentosiformis	4098	Nicotiana tomentosiformis	33
4113	Solanum tuberosum	4113	Solanum tuberosum	33
4155	Erythranthe guttata	4155	Erythranthe guttata	33
4432	Nelumbo nucifera	4432	Nelumbo nucifera	33
4513	Hordeum vulgare	4513	Hordeum vulgare	33
4529	Oryza rufipogon	4529	Oryza rufipogon	33
4533	Oryza brachyantha	4533	Oryza brachyantha	33
4536	Oryza nivara	4536	Oryza sativa f. spontanea	33
4537	Oryza punctata	4537	Oryza punctata	33
4538	Oryza glaberrima	4538	Oryza glaberrima	33
4555	Setaria italica	4555	Setaria italica	33
4558	Sorghum bicolor	4558	Sorghum bicolor	33
4565	Triticum aestivum	4565	Triticum aestivum	33
4572	Triticum urartu	4572	Triticum urartu	33
4577	Zea mays	4577	Zea mays	33
4641	Musa acuminata	4641	Musa acuminata	33
4787	Phytophthora infestans	4787	Phytophthora infestans	36
4792	Phytophthora parasitica	4792	Phytophthora parasitica	36
4896	Schizosaccharomyces pombe	4896	Schizosaccharomyces pombe	31
4897	Schizosaccharomyces japonicus	4897	Schizosaccharomyces japonicus	31
4899	Schizosaccharomyces octosporus	4899	Schizosaccharomyces octosporus	31
4909	Pichia kudriavzevii	4909	Pichia kudriavzevii	31
4920	Millerozyma farinosa	4920	Millerozyma farinosa	31
4922	Komagataella pastoris	4922	Komagataella pastoris	31
4924	Scheffersomyces stipitis	4924	Scheffersomyces stipitis	31
4929	Meyerozyma guilliermondii	4929	Meyerozyma guilliermondii	31
4932	Saccharomyces cerevisiae	4932	Saccharomyces cerevisiae	31
4950	Torulaspora delbrueckii	4950	Torulaspora delbrueckii	31
4952	Yarrowia lipolytica	4952	Yarrowia lipolytica	31
4956	Zygosaccharomyces rouxii	4956	Zygosaccharomyces rouxii	31
4959	Debaryomyces hansenii	4959	Debaryomyces hansenii	31
5011	Taphrina deformans	5011	Taphrina deformans	31
5016	Bipolaris maydis	5016	Bipolaris maydis	31
5017	Bipolaris zeicola	5017	Bipolaris zeicola	31
5022	Leptosphaeria maculans	5022	Leptosphaeria maculans	31
5037	Histoplasma capsulatum	5037	Histoplasma capsulatum	31
5039	Blastomyces dermatitidis	5039	Blastomyces dermatitidis	31
5057	Aspergillus clavatus	5057	Aspergillus clavatus	31
5059	Aspergillus flavus	5059	Aspergillus flavus	31
5061	Aspergillus niger	5061	Aspergillus niger	31
5062	Aspergillus oryzae	5062	Aspergillus oryzae	31
5111	Claviceps purpurea	5111	Claviceps purpurea	31
5127	Fusarium fujikuroi	5127	Fusarium fujikuroi	31
5141	Neurospora crassa	5141	Neurospora crassa	31
5145	Podospora anserina	2587412	Podospora anserina	31
5147	Sordaria macrospora	5147	Sordaria macrospora	31
5180	Sclerotinia sclerotiorum	5180	Sclerotinia sclerotiorum	31
5207	Cryptococcus neoformans	5207	Cryptococcus neoformans	31
5217	Tremella mesenterica	5217	Tremella mesenterica	31
5270	Ustilago maydis	5270	Ustilago maydis	31
5286	Rhodosporidium toruloides	5286	Rhodotorula toruloides	31
5297	Puccinia graminis	5297	Puccinia graminis	31
5334	Schizophyllum commune	5334	Schizophyllum commune	31
5341	Agaricus bisporus	5341	Agaricus bisporus	31
5346	Coprinopsis cinerea	5346	Coprinopsis cinerea	31
5465	Colletotrichum orbiculare	5465	Colletotrichum orbiculare	31
5476	Candida albicans	5476	Candida albicans	31
5478	Candida glabrata	5478	[Candida] glabrata	31
5479	Candida maltosa	5479	Candida maltosa	31
5480	Candida parapsilosis	5480	Candida parapsilosis	31
5482	Candida tropicalis	5482	Candida tropicalis	31
5501	Coccidioides immitis	5501	Coccidioides immitis	31
5507	Fusarium oxysporum	5507	Fusarium oxysporum	31
5518	Fusarium graminearum	5518	Fusarium graminearum	31
5551	Trichophyton rubrum	5551	Trichophyton rubrum	31
5664	Leishmania major	5664	Leishmania major	34
5671	Leishmania infantum	5671	Leishmania infantum	34
5679	Leishmania panamensis	5679	Leishmania panamensis	34
5691	Trypanosoma brucei	5691	Trypanosoma brucei	34
5693	Trypanosoma cruzi	5693	Trypanosoma cruzi	34
5722	Trichomonas vaginalis	5722	Trichomonas vaginalis	34
5741	Giardia intestinalis	5741	Giardia intestinalis	37
5759	Entamoeba histolytica	5759	Entamoeba histolytica	32
5762	Naegleria gruberi	5762	Naegleria gruberi	34
5786	Dictyostelium purpureum	5786	Dictyostelium purpureum	32
5808	Cryptosporidium muris	5808	Cryptosporidium muris	36
5811	Toxoplasma gondii	5811	Toxoplasma gondii	36
5821	Plasmodium berghei	5821	Plasmodium berghei	36
5825	Plasmodium chabaudi	5825	Plasmodium chabaudi	36
5827	Plasmodium cynomolgi	5827	Plasmodium cynomolgi	36
5833	Plasmodium falciparum	5833	Plasmodium falciparum	36
5850	Plasmodium knowlesi	5850	Plasmodium knowlesi	36
5855	Plasmodium vivax	5855	Plasmodium vivax	36
5860	Plasmodium vinckei	5860	Plasmodium vinckei	36
5865	Babesia bovis	5865	Babesia bovis	36
5872	Babesia equi	5872	Theileria equi	36
5874	Theileria annulata	5874	Theileria annulata	36
5875	Theileria parva	5875	Theileria parva	36
5888	Paramecium tetraurelia	5888	Paramecium tetraurelia	36
5911	Tetrahymena thermophila	5911	Tetrahymena thermophila	36
5932	Ichthyophthirius multifiliis	5932	Ichthyophthirius multifiliis	36
5970	Exophiala dermatitidis	5970	Exophiala dermatitidis	31
6087	Hydra vulgaris	6087	Hydra vulgaris	26
6183	Schistosoma mansoni	6183	Schistosoma mansoni	25
6211	Echinococcus multilocularis	6211	Echinococcus multilocularis	25
6238	Caenorhabditis briggsae	6238	Caenorhabditis briggsae	24
6239	Caenorhabditis elegans	6239	Caenorhabditis elegans	24
6326	Bursaphelenchus xylophilus	6326	Bursaphelenchus xylophilus	24
6334	Trichinella spiralis	6334	Trichinella spiralis	24
6412	Helobdella robusta	6412	Helobdella robusta	24
6500	Aplysia californica	6500	Aplysia californica	24
6669	Daphnia pulex	6669	Daphnia pulex	24
7029	Acyrthosiphon pisum	7029	Acyrthosiphon pisum	24
7070	Tribolium castaneum	7070	Tribolium castaneum	24
7091	Bombyx mori	7091	Bombyx mori	24
7159	Aedes aegypti	7159	Aedes aegypti	24
7165	Anopheles gambiae	7165	Anopheles gambiae	24
7176	Culex quinquefasciatus	7176	Culex quinquefasciatus	24
7209	Loa loa	7209	Loa loa	24
7213	Ceratitis capitata	7213	Ceratitis capitata	24
7217	Drosophila ananassae	7217	Drosophila ananassae	24
7220	Drosophila erecta	7220	Drosophila erecta	24
7222	Drosophila grimshawi	7222	Drosophila grimshawi	24
7227	Drosophila melanogaster	7227	Drosophila melanogaster	24
7230	Drosophila mojavensis	7230	Drosophila mojavensis	24
7234	Drosophila persimilis	7234	Drosophila persimilis	24
7237	Drosophila pseudoobscura	7237	Drosophila pseudoobscura	24
7244	Drosophila virilis	7244	Drosophila virilis	24
7245	Drosophila yakuba	7245	Drosophila yakuba	24
7260	Drosophila willistoni	7260	Drosophila willistoni	24
7370	Musca domestica	7370	Musca domestica	24
7425	Nasonia vitripennis	7425	Nasonia vitripennis	24
7460	Apis mellifera	7460	Apis mellifera	24
7668	Strongylocentrotus purpuratus	7668	Strongylocentrotus purpuratus	23
7719	Ciona intestinalis	7719	Ciona intestinalis	21
7739	Branchiostoma floridae	7739	Branchiostoma floridae	22
7897	Latimeria chalumnae	7897	Latimeria chalumnae	19
7918	Lepisosteus oculatus	7918	Lepisosteus oculatus	20
7955	Danio rerio	7955	Danio rerio	20
7994	Astyanax mexicanus	7994	Astyanax mexicanus	20
8010	Esox lucius	8010	Esox lucius	20
8049	Gadus morhua	8049	Gadus morhua	20
8081	Poecilia reticulata	8081	Poecilia reticulata	20
8083	Xiphophorus maculatus	8083	Xiphophorus maculatus	20
8090	Oryzias latipes	8090	Oryzias latipes	20
8128	Oreochromis niloticus	8128	Oreochromis niloticus	20
8153	Haplochromis burtoni	8153	Haplochromis burtoni	20
8364	Xenopus tropicalis	8364	Xenopus tropicalis	18
8469	Chelonia mydas	8469	Chelonia mydas	17
8479	Chrysemys picta	8479	Chrysemys picta	17
8496	Alligator mississippiensis	8496	Alligator mississippiensis	17
8932	Columba livia	8932	Columba livia	17
9031	Gallus gallus	9031	Gallus gallus	17
9258	Ornithorhynchus anatinus	9258	Ornithorhynchus anatinus	16
9305	Sarcophilus harrisii	9305	Sarcophilus harrisii	15
9315	Macropus eugenii	9315	Notamacropus eugenii	15
9361	Dasypus novemcinctus	9361	Dasypus novemcinctus	14
9365	Erinaceus europaeus	9365	Erinaceus europaeus	13
9371	Echinops telfairi	9371	Echinops telfairi	14
9402	Pteropus alecto	9402	Pteropus alecto	13
9478	Tarsius syrichta	1868482	Carlito syrichta	8
9483	Callithrix jacchus	9483	Callithrix jacchus	7
9541	Macaca fascicularis	9541	Macaca fascicularis	6
9544	Macaca mulatta	9544	Macaca mulatta	6
9555	Papio anubis	9555	Papio anubis	6
9593	Gorilla gorilla	9593	Gorilla gorilla	3
9597	Pan paniscus	9597	Pan paniscus	2
9598	Pan troglodytes	9598	Pan troglodytes	2
9601	Pongo abelii	9601	Pongo abelii	4
9606	Homo sapiens	9606	Homo sapiens	1
9612	Canis lupus	9612	Canis lupus	13
9646	Ailuropoda melanoleuca	9646	Ailuropoda melanoleuca	13
9668	Mustela putorius	9668	Mustela putorius	13
9685	Felis catus	9685	Felis catus	13
9694	Panthera tigris	9694	Panthera tigris	13
